Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Salladsost fett 22%;94;272;1138;2,1;22,1;16,72;0;55,9;0;3,2;0;0,16;0;0;0,2;14,2;2,6;0,78;2,13;5,53;2,27;0,06;4,91;0,28;4,44;1,05;0,85;0,16;0,04;0;0;0;59,8;216;217,3;16;0;0,54;29,2;0,03;0,35;0;0,24;4,1;0;0,55;26,7;222;38,3;0,09;242;55,2;0,03;15,4;815;2,04;0;1,31;0;0
Ost hårdost fett 17%;95;280;1170;1,5;17;30,3;0;46,8;0;4,4;0;0;0;0;0;11,15;1,75;0,53;1,75;4,92;1,96;0,03;3,97;0,16;3,66;0,37;0,26;0,11;0;0;0;0;48;142;148,5;78;0,12;0,4;1,6;0,03;0,34;0;0,05;7,12;0,05;1,8;39;600;17;0,2;880;99;0,06;36;430;1,08;11,1;3,7;0;0
Ost hårdost fett 28%;96;358;1498;3;27,1;26,16;0;40,2;0;3,5;0;0;0;0;0;17,78;2,23;0,86;2,74;8,11;2,8;0,05;6,22;0,41;5,43;0,97;0,76;0,16;0,03;0;0;0;66,3;256;263,9;95;0,1;0,7;28,7;0,01;0,27;0;0;6,1;0;1,85;24,4;440;12;0,14;689;77,1;0,04;31,3;424;1,06;0;3,45;0;0
Ost hårdost fett 31%;97;392;1639;3,3;31,2;25,2;0;37;0;3,3;0;0;0;0;0;20,72;2,55;0,97;3,19;9,55;3,27;0,05;7,09;0,46;6,19;1,08;0,83;0,19;0,04;0;0;0;76,8;273;283,5;125;0,09;0,79;30,5;0,02;0,27;0;0;5,9;0;1,65;23,6;412;9;0,1;676;75,8;0,04;30,9;407;1,02;0;3,24;0;0
Brieost vitmögelost fett 30%;98;348;1455;2,8;30,2;17,03;0;47,4;0;2,6;0,14;0;0;0;0,1;19,46;2,09;0,87;3,11;9,08;3,02;0,05;7,3;0,5;6,34;1,07;0,76;0,24;0,04;0;0;0;59,6;272;279,2;86;0,2;0,92;11,8;0,03;0,37;0;0,56;4,5;0;1,13;39;281;19,1;0,1;409;98,9;0,02;18;404;1,01;0;2,38;0;0
Ost halloumi rå fett 22%;100;292;1221;1,9;21,9;22,27;0;48,5;0;5,4;0,24;0,62;0;0;0,9;14,91;2,18;0,76;2,29;6,76;1,94;0,04;4,57;0,32;3,96;0,8;0,65;0,09;0,05;0;0;0;71;192;193;12;0,16;0,45;6,5;0,02;0,25;0;0,08;5,3;0;0,64;1,6;406;34;0,15;633;73,8;0,03;34;1680;4,2;10,3;3,04;0;0
Färskost fett 33%;101;343;1435;2,4;33;10,2;0;53;0;1,4;0;2,1;0;0;2,1;21,39;2,81;1,06;3,46;9,46;3,67;0,06;8,51;0,5;7,44;0,85;0,63;0,19;0,03;0;0;0;110;300;311,6;139;0,33;0,7;;0,04;0,2;0;0,1;2,48;0,06;0,2;13;160;12;0,3;200;119;;6;570;1,43;5,5;0,5;;0
Grönmögelost fett 43%;102;429;1797;2,5;43;9,6;0;43,3;0;1,6;0;2,1;0;0;2,1;27,87;3,67;1,38;4,51;12,33;4,79;0,08;11,09;0,65;9,69;1,1;0,83;0,24;0,04;0;0;0;110;350;363,5;162;0,36;0,85;;0,04;0,2;0;0,1;2,34;0,06;0,2;13;140;12;0,3;230;119;;6;472;1,18;5,5;0,5;;0
Ost hårdost parmesan fett 30%;103;449;1880;3,8;30;41,5;0;17,7;0;7;0;3,7;0;0;3,7;19,45;2,56;0,97;3,15;8,6;3,34;0,06;7,74;0,45;6,76;0,77;0,58;0,17;0,02;0;0;0;79;235;243,9;107;0,21;0,69;;0,04;0,39;0;0,3;9,98;0,1;1,6;8;810;72;1;1380;107;;51;998;2,5;3;3,2;;0
Färskost m. vitlök fett 35%;104;340;1422;3,5;35;4;0;56,7;0;0,8;0;0,4;0;0;0,4;22,69;2,99;1,13;3,67;10,03;3,9;0,07;9,03;0,53;7,89;0,9;0,67;0,2;0,03;0;0;0;120;262;268,7;80;0,25;0,8;;0,02;0,14;0;0,1;1,03;0,03;0,6;13;145;7,1;0,1;68;40;;5;260;0,65;5,5;0,4;;0
Camembert vitmögelost fett 11%;105;185;774;0,2;11;21,4;0;64,1;0;3,3;0;0,1;0;0;0,1;7,13;0,94;0,35;1,15;3,15;1,22;0,02;2,84;0,17;2,48;0,28;0,21;0,06;0,01;0;0;0;35;86;89,3;40;0,12;0,27;;0,04;0,45;0;1,8;6,79;0,25;1,1;62;370;19,1;0,2;187;720;;20;605;1,51;3;2,4;;0
Mjukost smältost fett ca 22%;106;273;1144;8,2;22,4;10,34;0;55,32;0;3,71;0;5,42;0,01;0;5,4;15,09;2,34;0,73;2,35;6,41;2,29;0,04;4,87;0,36;4,15;0,95;0,45;0,18;0,05;0,03;0,03;0;61,4;298,6;304,2;67;0,12;0,67;0,8;0,05;0,28;0;0,17;2,6;0,06;0,28;18,5;710;11;0,13;291;255;0,03;19,4;884;2,21;39;1,23;0;0
Färskost cream cheese fett 27%;107;276;1155;2,4;27,34;6,06;0;63,08;0;1,14;0;2,68;0,01;0;2,7;17,96;3,39;0,89;2,79;7,21;2,55;0,04;6,38;0,45;5,53;1,17;0,61;0,2;0,03;0,02;0,02;0;84,9;283,6;285,2;19;0,1;0,65;3,7;0,03;0,17;0;0,07;1,5;0,04;0,22;15,3;95,4;7,1;0,12;88;71,3;0,02;7,3;268;0,67;2,9;0,65;0;0
Färskost cream cheese lätt fett 15%;108;187;782;3,4;16;7,8;0;72,12;0;0,68;0,1;1,59;0,01;0;1,7;10,64;2,01;0,53;1,65;4,27;1,51;0,03;3,78;0,27;3,28;0,69;0,36;0,12;0,02;0,01;0,01;0;50,31;168,1;169;11;0,1;0,39;;0,02;0,1;0;0,04;1,86;0,02;0,13;18;56,5;7;0,07;52,1;42,3;;4,3;158,8;0,4;4;0,38;;0
Färskost cream cheese extra light fett 5%;109;116;484;4,7;5,29;12,25;0;76,24;0;1,48;0;2,8;0,05;0;2,8;3,39;0,39;0,16;0,53;1,56;0,53;0,01;1,32;0,09;1,14;0,24;0,17;0,03;0,01;0;0;0;27,5;54,6;56,1;18;0,1;0,14;0,4;0,03;0,25;0;0,1;3;0,04;0,35;23,8;131,5;19;0,09;57,2;188,2;0,03;8,1;341,9;0,85;6,16;0,55;0,98;0
Camembert vitmögelost friterad;110;323;1352;15,85;21,01;17,5;0,96;42,11;0;2,49;0,29;0,46;0,08;2;0,7;11,84;1,21;0,46;1,54;6,29;1,91;0,04;6,22;0,26;5,69;1,21;1,04;0,12;0,03;0;0;0,01;94,73;169,2;247,6;750;0,56;2,12;;0,07;0,34;0,2;1,46;5,45;0,16;0,83;38,4;296,4;18,8;0,67;469;190,2;;24,3;459,9;1,15;8,22;1,94;;
Getost chèvre vitmögelost fett 25%;111;345;1445;1,4;28,95;20,61;0;46,3;0;2,75;0;0,39;0;0;0,4;19,97;3,84;1,12;2,71;7,7;3,49;0,09;5,93;0,26;5,44;1,28;0,88;0,2;0,04;0;0;0;97,6;302;302;2;0,15;0,65;3,7;0,05;0,42;0;0,66;5,5;0,18;0,19;48;263,4;43;0,68;168,8;133,8;0,08;17,1;685,8;1,71;11,29;0,93;0,16;0
Bröstmjölk humanmjölk;113;68;286;8,68;3,13;1,3;0;86,69;0;0,2;0;7,2;0;0;7,2;1,24;0,04;0,16;0,17;0,65;0,18;0,01;1,27;0,1;1,13;0,44;0,32;0,05;0,02;0,01;0,01;0,02;14;58;60;24;0,1;0,34;;0,02;0,03;4;0,2;0,5;0,01;1;5;15;7;0,07;34;58;0,04;3;15;0,04;1;0,3;0;0
Filmjölk fett 3% berikad;114;57;239;4,6;2,8;3,34;0;88,55;0;0,7;0;3,8;0;0;3,8;1,81;0,22;0,09;0,3;0,82;0,27;0;0,67;0,04;0,58;0,11;0,08;0,02;0;0;0;0;9,08;26;27;12;1;0,06;11,4;0,04;0,15;0;0,11;0,9;0,04;0,25;10;95;10,5;0,04;113,5;155;0,02;11,8;38,6;0,1;0;0,72;0;0
Kondenserad mjölk konserv. fett ca 8%;115;136;567;10;7,6;6,8;0;74;0;1,6;0;10;0;0;10;4,93;0,65;0,24;0,8;2,18;0,85;0,01;1,96;0,11;1,71;0,19;0,15;0,04;0,01;0;0;0;29;61;63,3;28;0,05;0,2;;0,05;0,32;0;0,2;1,79;0,05;0,2;8;200;;0,2;260;305;;24;106;0,27;3;0,8;;0
Kondenserad mjölk konserv. konc. sockrad fett ca 9%;116;331;1384;54,6;8,7;7,9;0;27;0;1,8;0;55;45;0;55;5,64;0,74;0,28;0,91;2,49;0,97;0,02;2,24;0,13;1,96;0,22;0,17;0,05;0,01;0;0;0;34;67;69,6;31;0,06;0,2;;0,09;0,42;3;0,2;2,04;0,05;0,4;11;255;5,8;0,2;285;370;;26;127;0,32;3;0,9;;0
Mjölkpulver fett 1%;118;365;1527;51,98;0,77;36,16;0;3,16;0;7,93;0;51;0;0;51;0,5;0,08;0,02;0,08;0,22;0,09;0;0,18;0,01;0,17;0,01;0,01;0,01;0;0;0;0;20;6;6,7;1;0,01;0;;0,42;1,55;0;0,95;9,39;0,36;4,7;50;968;150;0,32;1257;1794;;110;535;1,34;10;4,08;;0
Filmjölk långfil fett 3%;119;60;251;4,84;3;3,42;0;88;0;0,74;0;3,8;0;0;3,8;1,97;0,31;0,09;0,31;0,87;0,35;0,01;0,7;0,03;0,65;0,05;0,05;0,02;0;0;0;0;10,2;25;26,2;14;1;0,07;;0,04;0,14;0;0,06;0,86;0,04;0,27;11,2;91;;0,04;116;162;;12;41;0,1;1,8;0,44;;0
Lättfil fett 0,5%;120;39;164;5,03;0,5;3,51;0;90,2;0;0,76;0,05;3,9;0;0;4;0,33;0,05;0,02;0,05;0,14;0,06;0;0,12;0;0,11;0,01;0,01;0;0;0;0;0;3,3;4,6;4,8;2;1;0,01;;0,04;0,15;0;0,07;0,76;0,04;0,27;11,5;94;10,5;0,04;119;166;;12;42;0,11;1,8;0,45;;0
Milkshake choklad jordgubb;122;84;352;10,9;3,6;2;0;83;0;0,5;1,6;9;6,4;0;10,6;0,98;0;0,01;0,02;0,64;0,26;0,01;1,66;0,01;1,62;0,76;0,75;0,01;0;0;0;0;10;28;29,1;13;0,02;0,1;;0,03;0,09;0;0,1;0,57;0,04;0,3;5;50;8,7;0,1;73;188;;13;45;0,11;0,6;0,3;;0
Mjölk fett 3% berikad;123;60;251;4,7;3;3,51;0;88;0;0,77;0;4,79;0;0;4,8;1,92;0,22;0,1;0,31;0,93;0,3;0,01;0,75;0,06;0,65;0,07;0,05;0,02;0;0;0;0;10,3;25,8;27,7;22;1;0,08;0,9;0,05;0,15;0,6;0,07;0,9;0,04;0,58;14,3;102;11,8;0,02;120;161;0,01;11;39;0,1;1,61;0,43;0;
Yoghurt naturell fett 3%;124;56;234;4,5;2,7;3,37;0;88,7;0;0,7;0,03;2,9;0,02;0;2,9;1,75;0,21;0,09;0,28;0,8;0,26;0;0,64;0,04;0,56;0,1;0,08;0,02;0;0;0;0;10,65;23;24,1;12;1;0,06;0,9;0,04;0,14;0;0,11;0,9;0,04;0,21;13,8;90,7;8;0,08;115,5;162,5;0,02;11,2;37,6;0,09;0;1,58;0;0
Fruktyoghurt fett 2,5%;125;97;408;15;2,5;3,3;0,5;78;0;0,7;2;12,5;9;0;14,5;1,64;0,26;0,08;0,26;0,72;0,29;0;0,58;0,02;0,54;0,04;0,04;0,02;0;0;0;0;8;20,9;21,8;12;0,02;0,06;;0,04;0,16;2;0,1;0,87;0,04;0,2;23;92;;0,1;104;152;;12;36;0,09;1,1;0,3;;0
Fruktyoghurt lätt fett 0,5%;126;76;317;14,3;0,5;3;0,5;81;0;0,7;6,1;8,1;5,3;0;14,2;0,33;0,05;0,02;0,05;0,14;0,06;0;0,12;0;0,11;0,01;0,01;0;0;0;0;0;1,6;4,2;4,4;2;0;0,01;;0,04;0,17;2;0,1;0,8;0,04;0,2;23;92;9,2;0,1;104;152;;12;36;0,09;1,1;0,3;;0
Mjölk fett 4,2% typ lantmjölk;127;70;294;4,8;4,2;3,38;0;86,9;0;0,76;0;4,73;0;0;4,7;2,69;0,31;0,13;0,44;1,31;0,42;0,01;1,05;0,09;0,91;0,1;0,06;0,03;0;0;0;0;13,7;25,8;27,7;22;0,01;0,08;1,2;0,05;0,14;0,6;0,07;0,9;0,04;0,57;14,2;101;11,7;0,02;119;159;0,01;11;39;0,1;1,6;0,43;0;0
Filmjölk A-fil fett 3%;128;60;251;4,84;3;3,42;0;88;0;0,74;0;3,8;0;0;3,8;1,97;0,31;0,09;0,31;0,87;0,35;0,01;0,7;0,03;0,65;0,05;0,05;0,02;0;0;0;0;10,2;25;26,2;14;1;0,07;;0,04;0,14;0;0,06;0,86;0,04;0,27;11,2;91;10,5;0,04;116;162;;12;41;0,1;1,8;0,44;;0
Mellanfil fett 1,5%;130;48;199;4,98;1,5;3,47;0;89,3;0;0,75;0,05;3,8;0;0;3,8;0,98;0,15;0,05;0,15;0,43;0,17;0;0,35;0,01;0,32;0,02;0,02;0,01;0;0;0;0;6;13,8;14,4;7;1;0,04;;0,04;0,15;0;0,07;0,88;0,04;0,27;11,3;93;10,5;0,04;117;165;;12;41;0,1;1,8;0,45;;0
Mjölkdryck jordgubb fett 1,5% berikad;133;50;209;5,2;1,72;3,33;0;89,3;0;0,49;0;7,27;2,81;0;7,3;1,13;0,14;0,06;0,18;0,52;0,17;0;0,43;0,03;0,38;0,06;0,04;0,01;0;0;0;0;6,5;13,8;23,3;114;0,43;0;0,4;0,05;0,16;1,1;0,11;0,9;0,06;0,39;14,1;74,6;6;0,15;74,4;118;0;8,3;28,7;0,07;2,5;0,4;0,05;0
Yoghurt naturell lätt fett 0,5%;135;42;178;5,5;0,5;3,86;0;89,3;0;0,84;0,05;3,1;0;0;3,2;0,33;0,05;0,02;0,05;0,14;0,06;0;0,12;0;0,11;0,01;0,01;0;0;0;0;0;3,3;4,6;4,8;2;1;0,01;;0,05;0,16;0;0,07;0,97;0,05;0,27;12,6;103;15,6;0,04;130;183;;14;46;0,12;2;0,5;;0
Fruktyoghurt fett 2%;136;93;389;15;2;3,3;0,5;78,5;0;0,7;2;12,5;9;0;14,5;1,31;0,21;0,06;0,21;0,58;0,23;0;0,47;0,02;0,43;0,03;0,03;0,01;0;0;0;0;6,4;16,7;17,4;9;0,01;0,05;;0,04;0,16;2;0,1;0,87;0,04;0,2;23;92;10,3;0,1;104;152;;12;36;0,09;1,1;0,3;;0
Fruktyoghurt delikatessyoghurt fett 7%;137;129;540;14;7;2,5;0;75,8;0;0,7;6;8;5;0;14;4,59;0,72;0,22;0,72;2,02;0,81;0,01;1,63;0,07;1,51;0,11;0,11;0,05;0;0;0;0;22,4;58,4;61,1;32;0,05;0,16;;0,04;0,16;0;0,1;0,68;0,04;0,2;11;92;9,9;0;100;152;;12;36;0,09;1,1;0,3;;0
Fruktyoghurt lätt fett<0,05%;138;52;216;8,8;0,05;3,78;0;86,85;0;0,57;0,88;8,87;6,46;0;9,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,14;0,7;0,12;1;0,04;0,23;19,7;82,8;10;0,04;73,3;135,5;0,01;9;35,7;0,09;3,2;0,38;0,05;0
Fruktyoghurt fett 5%;139;127;530;14,6;5,07;5,57;0;74,03;0;0,72;2,5;10,98;8,32;0;13,5;3,37;0,41;0,16;0,5;1,67;0,45;0,01;1,2;0,1;1,02;0,19;0,13;0,02;0,01;0;0;0;18,6;41,7;43,1;16;0,1;0,24;0,4;0,04;0,17;0;0,13;1,4;0,03;0,4;32,5;95,5;11;0,09;86,4;142,5;0,01;10,5;47,5;0,12;4,1;0,4;0,05;0
Fruktyoghurt fett 1,3%;140;93;391;13;1,35;7,04;0;77,94;0;0,64;1,34;11,37;8,04;0;12,7;0,9;0,11;0,05;0,15;0,42;0,11;0;0,31;0,02;0,26;0,05;0,04;0,01;0;0;0;0;8,1;37,6;38,8;14;0,1;0,09;0,4;0,05;0,32;0;0,13;1,8;0,12;0,56;24,6;116,8;13;1,11;20;122,4;0,01;26,7;0,5;0;3,6;0,46;0,16;0
Kefir fett 3%;142;60;251;4,84;3;3,42;0;88;0;0,74;0;3,8;0;0;3,8;1,97;0,31;0,09;0,31;0,87;0,35;0,01;0,7;0,03;0,65;0,05;0,05;0,02;0;0;0;0;10,2;25;26,2;14;1;0,07;;0,04;0,14;0;0,06;0,86;0,04;0,27;11,2;91;;0,04;116;162;;12;41;0,1;1,8;0,44;;0
Yoghurt mild vanilj lätt fett 0,5%  ;147;61;255;9,92;0,48;4,06;0;84,71;0;0,84;0,95;7,65;4,2;0;8,6;0,29;0,1;0;0,1;0,1;0,1;0;0,1;0;0,1;0;0;0;0;0;0;0;3,04;25;25,2;2;0,36;0,01;;0,05;0,17;0;0,1;1,05;0,05;0,3;12,8;107,3;9,2;0,04;135,8;191,5;;14,4;49;0,12;2;0,52;;0
Mellanmjölk fett 1,5% berikad;150;47;198;4,8;1,5;3,57;0;89,4;0;0,78;0;4,86;0;0;4,9;0,96;0,11;0,05;0,16;0,47;0,15;0;0,37;0,03;0,32;0,04;0,02;0,01;0;0;0;0;6,1;12,9;13,8;11;1;0,04;0,4;0,05;0,15;0,6;0,07;0,9;0,05;0,59;14,6;104;12;0,02;122;163;0,01;11;40;0,1;1,62;0,43;0;0
Lättmjölk fett 0,5% berikad;151;39;161;4,8;0,5;3,6;0;90,3;0;0,79;0;4,91;0;0;4,9;0,32;0,04;0,02;0,05;0,16;0,05;0;0,12;0,01;0,11;0,01;0,01;0;0;0;0;0;3,3;4,3;4,6;4;1;0,01;0,1;0,05;0,15;0,6;0,07;0,9;0,05;0,59;14,7;105;12,1;0,02;124;165;0,01;11;40;0,1;1,63;0,44;0;0
Vassle flytande;152;25;103;5,12;0,09;0,76;0;93,42;0;0,61;0;5,12;0;0;5,1;0,07;0,01;0;0,01;0,03;0,01;0;0,02;0;0,02;0;0;0;0;0;0;0;1;0,8;0,9;0;0;0;0;0,04;0,14;0,1;0,08;0,26;0,04;0,18;2;78;;0,08;103;143;0;10;48;0,12;1,8;0,43;;0
Filbunke m. grädde;154;66;275;4,85;3,55;3,59;0;87,24;0;0,78;0;4,77;0;0;4,8;2,28;0,26;0,12;0,37;1,1;0,35;0,01;0,88;0,07;0,76;0,09;0,06;0,02;0;0;0;0;11,81;31;33,1;25;1;0,09;2,8;0,05;0,14;0,5;0,08;0,92;0,04;0,52;11,7;104,4;12;0,02;123;164,9;0,01;11,4;40,4;0,1;1,4;0,49;0;
Varm choklad m. mjölk fett 3%;156;85;356;10,38;3,12;3,76;0;81,82;0;0,89;1,06;8,99;4,31;0;10,1;1,97;0,21;0,1;0,3;0,95;0,35;0,01;0,79;0,06;0,69;0,07;0,05;0,02;0;0;0;0;10,06;25,2;27,1;21;0,98;0,08;1;0,04;0,14;0,6;0,1;0,97;0,04;0,54;11,8;110,7;11,5;0,11;119,3;201,9;;18,3;50,5;0,13;1,64;0,51;0,2;
Varm choklad m. mjölk fett 1,5%;157;72;305;10,48;1,66;3,82;0;83,18;0;0,91;1,06;9,07;4,32;0;10,2;1,04;0,11;0,05;0,16;0,5;0,2;0;0,42;0,03;0,37;0,04;0,02;0,01;0;0;0;0;5,96;12,6;13,5;11;0,98;0,05;0,5;0,04;0,14;0,6;0,1;0,97;0,04;0,55;12;112,8;11,7;0,11;121,4;204;;18,3;51,5;0,13;1,65;0,52;0,2;0
Varm choklad m. mjölk fett 0,5%;158;65;269;10,49;0,68;3,86;0;84,05;0;0,92;1,06;9,12;4,32;0;10,2;0,41;0,04;0,02;0,05;0,2;0,1;0;0,17;0,01;0,16;0,01;0,01;0;0;0;0;0;3,23;4,2;4,5;4;0,98;0,02;0,2;0,04;0,14;0,6;0,1;0,97;0,04;0,55;12,1;113,8;11,8;0,11;123,4;206;;18,3;51,5;0,13;1,66;0,52;0,2;0
Hårt bröd fullkorn råg fibrer 15,5% typ Husman;162;354;1481;64,4;2,5;10;15,5;5,2;0;2,4;0,5;0,9;0,2;100;1,4;0,34;0;0;0;0,3;0,01;0;0,32;0,01;0,26;1,12;0,97;0,14;0;0;0;0;0;0;0;0;0;0,74;;0,22;0,1;0;0,97;2,64;0,26;0;74,5;325;6,8;2,45;40;500;0,28;100;400;1;2,34;2,34;55;0
Hårt bröd fullkorn råg fibrer ca 18% typ Ryvita mörkt;163;349;1460;57,6;2,5;14,58;17,6;5,4;0;2,3;0,2;1,6;1;100;1,8;0,34;0;0;0;0,3;0,01;0;0,29;0,01;0,23;1,16;1,01;0,15;0;0;0;0;0;0;0;0;0;0,74;;0,13;0,11;0;0,91;3,3;0,3;0;37,3;350;11;2,97;43;505;0,34;78;300;0,75;5,51;2,32;52,7;0
Hårt bröd fullkorn vete m. vallmofrö fibrer 5,5%;164;398;1667;68,9;7,1;11,1;5,5;5,5;0;1,9;3,3;2,2;0,2;14;5,5;0,59;0;0;0;0,36;0,15;0,03;2,35;0,01;2,26;1,8;1,39;0,41;0;0;0;0;1;21,7;22,6;7;0,25;0,64;6,4;0,3;0,18;0;4,81;6,65;0,31;0;66,5;170;11;1,73;62;260;0,18;34;425;1,06;3,62;1,18;60,5;0
Hårt bröd fullkorn råg fibrer 14,5% typ Vika;165;345;1444;63,3;2,4;9,61;14,5;7,2;0;3;1,3;0,9;0,2;100;2,2;0,31;0;0;0;0,27;0,01;0;0,32;0,01;0,26;1,05;0,91;0,14;0;0;0;0;0;0;0;0;0;0,74;;0,24;0,15;0;1,4;3;0,31;0;63,1;325;43;3,34;40;415;0,34;73;650;1,63;9,84;2,38;53,8;0
Hårt bröd fullkorn råg fibrer 16% typ Finn crisp;166;349;1458;62,8;2;11,1;16;5;0;3,1;1,4;1,8;0,4;94;3,2;0,26;0;0;0;0,23;0,01;0;0,24;0,01;0,19;0,93;0,8;0,13;0;0;0;0;0;0;0;0;0;0,74;;0,26;0,18;0;1,5;3,35;0,36;0;90,2;390;113;3,99;34;520;0,39;88;615;1,54;24,2;3,08;49;0
Hårt bröd fullkorn råg fibrer ca 15% typ flatbröd;167;362;1515;68;2;9,5;15,4;3,3;0;1,8;1,1;3,4;2,3;93;4,5;0,28;0;0;0;0,25;0,01;0;0,25;0,01;0,19;0,87;0,75;0,11;0;0;0;0;0;0;0;0;0;0,74;;0,21;0,11;0;0,87;2,48;0,29;0;31,4;260;16;3,34;40;420;0,32;70;185;0,46;4,35;2,93;56;0
Hårt bröd glutenfritt fibrer ca 7%;168;346;1446;71,1;2;6,3;7;10,8;0;2,8;1,8;5,8;0,3;0;7,6;0,14;0;0;0,01;0,09;0,03;0,01;0,77;0,01;0,74;0,42;0,28;0,14;0;0;0;0;2;1;1,1;1;0;0;;0,44;0,6;0;4,81;5,85;0,41;0,4;47,5;190;53;8,4;240;275;0,05;24;565;1,41;2,29;1,12;56,4;0
Hårt bröd fullkorn råg fibrer ca 13%;169;353;1477;65,7;2,6;9,3;13,2;6,6;0;2,6;1,5;1,2;0,2;73;2,7;0,51;0;0;0;0,35;0,14;0;0,31;0,01;0,25;1;0,87;0,13;0;0;0;0;0;0;0;0;0;0,74;;0,22;0,18;0;1,34;2,85;0,23;0;89,2;290;12;2,69;32;400;0,28;62;550;1,38;1,6;2,41;56,3;0
Hårt bröd fullkorn råg kli fibrer ca 15%;170;349;1461;63,9;2,5;9,5;15,1;6,2;0;2,8;1,2;1,4;0,3;100;2,6;0,33;0;0;0;0,29;0,02;0,01;0,32;0,01;0,25;1,11;0,96;0,14;0;0;0;0;0;0;0;0;0;0,74;;0,15;0,15;0;1,09;2,68;0,27;0;67,7;330;5;3,32;35;455;0,32;75;560;1,4;1,37;2,88;52,1;0
Hårt bröd fullkorn råg fibrer ca 14% typ råg-rut;171;356;1489;65,3;2,57;10,03;14,2;5,3;0;2,6;0,2;1;0,3;100;1,2;0,35;0;0;0;0,31;0,01;0;0,33;0,01;0,27;1,15;1;0,15;0;0;0;0;0;0;0;0;0;0,74;;0,22;0,22;0;1,01;2,7;0,3;0;82,8;325;6,8;2,89;50;470;0,33;95;500;1,25;1,48;2,43;57;0
Hårt bröd fullkorn råg fibrer 15,5% typ brungräddat;172;350;1462;63,5;2,4;10;15,5;5,9;0;2,7;0,4;1;0,3;100;1,4;0,32;0;0;0;0,29;0,01;0;0,31;0,01;0,25;1,07;0,93;0,14;0;0;0;0;0;0;0;0;0;0,74;;0,19;0,17;0;1,3;2,97;0,25;0;104,4;325;10;3,15;45;490;0,32;100;600;1,5;1,85;2,7;55,6;0
Hårt bröd fullkorn råg fibrer ca 16% typ sport;173;341;1426;62,1;1,9;10;16,3;7;0;2,7;0,5;0,8;0,5;100;1,3;0,26;0;0;0;0,23;0,01;0;0,24;0,01;0,2;0,85;0,74;0,11;0;0;0;0;0;0;0;0;0;0,74;;0,22;0,1;0;1,14;2,77;0,31;0;67,3;325;6;3,41;55;530;0,36;110;500;1,25;1,49;3,12;56;0
Hårt bröd fullkorn råg m. sesamfrö vetekli vetegroddar fibrer 24%;174;355;1487;45,3;8,2;13;24;5,7;0;3,8;0,2;2,2;1,9;69;2,4;0,96;0;0;0;0,61;0,29;0,03;2,05;0,01;2,01;2,48;2,37;0,11;0;0;0;0;0;0;0;0;0;0,75;6,4;0,4;0,2;0;6,97;9,14;0,67;0;70,8;550;8;8,6;160;700;0,56;190;600;1,5;5,02;5,31;34;0
Hårt bröd fullkorn råg fibrer 15,5% typ delikatess;175;351;1468;64,7;2;10;15,5;5,3;0;2,5;0,2;2,3;1,6;100;2,5;0,27;0;0;0;0,24;0,01;0;0,26;0,01;0,21;0,89;0,78;0,11;0;0;0;0;1;0;0;0;0;0,74;;0,3;0,3;0;0,92;2,57;0,31;0,15;39,2;335;6,8;3,25;50;490;0,28;110;500;1,25;2,04;3,07;55;0
Hårt bröd fullkorn havre vete råg m. mjölk fibrer 8%;178;379;1586;61,7;6,8;13;8;7,5;0;3;0,4;2,7;0,1;57;3,1;1,03;0;0,01;0,03;0,82;0,15;0,01;1,8;0,01;1,72;1,72;1,64;0,08;0;0;0;0;1;1,7;2;0;0;0,89;2,8;0,2;0,1;0;1,37;3,57;0,21;0,27;55,4;350;12;2,97;105;430;0,25;92;500;1,25;1,96;2,18;55,3;0
